Run,Checkpoint,Modo,Seed,estado,origen,destino
r128_a256_d005,epoch_140_loss_0.1714,mixolydian,2222,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_140_loss_0.1714_mixolydian_seed2222.flac,audios_unificados\r128_a256_d005\epoch_140_loss_0.1714\mixolydian_seed2222.flac
r128_a256_d005,epoch_140_loss_0.1714,aeolian,1111,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_140_loss_0.1714_aeolian_seed1111.flac,audios_unificados\r128_a256_d005\epoch_140_loss_0.1714\aeolian_seed1111.flac
r128_a256_d005,epoch_140_loss_0.1714,aeolian,2222,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_140_loss_0.1714_aeolian_seed2222.flac,audios_unificados\r128_a256_d005\epoch_140_loss_0.1714\aeolian_seed2222.flac
r128_a256_d005,epoch_140_loss_0.1714,locrian,1111,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_140_loss_0.1714_locrian_seed1111.flac,audios_unificados\r128_a256_d005\epoch_140_loss_0.1714\locrian_seed1111.flac
r128_a256_d005,epoch_140_loss_0.1714,locrian,2222,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_140_loss_0.1714_locrian_seed2222.flac,audios_unificados\r128_a256_d005\epoch_140_loss_0.1714\locrian_seed2222.flac
r128_a256_d005,epoch_180_loss_0.1603,ionian,1111,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_180_loss_0.1603_ionian_seed1111.flac,audios_unificados\r128_a256_d005\epoch_180_loss_0.1603\ionian_seed1111.flac
r128_a256_d005,epoch_180_loss_0.1603,ionian,2222,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_180_loss_0.1603_ionian_seed2222.flac,audios_unificados\r128_a256_d005\epoch_180_loss_0.1603\ionian_seed2222.flac
r128_a256_d005,epoch_180_loss_0.1603,dorian,1111,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_180_loss_0.1603_dorian_seed1111.flac,audios_unificados\r128_a256_d005\epoch_180_loss_0.1603\dorian_seed1111.flac
r128_a256_d005,epoch_180_loss_0.1603,dorian,2222,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_180_loss_0.1603_dorian_seed2222.flac,audios_unificados\r128_a256_d005\epoch_180_loss_0.1603\dorian_seed2222.flac
r128_a256_d005,epoch_180_loss_0.1603,phrygian,1111,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_180_loss_0.1603_phrygian_seed1111.flac,audios_unificados\r128_a256_d005\epoch_180_loss_0.1603\phrygian_seed1111.flac
r128_a256_d005,epoch_180_loss_0.1603,phrygian,2222,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_180_loss_0.1603_phrygian_seed2222.flac,audios_unificados\r128_a256_d005\epoch_180_loss_0.1603\phrygian_seed2222.flac
r128_a256_d005,epoch_180_loss_0.1603,lydian,1111,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_180_loss_0.1603_lydian_seed1111.flac,audios_unificados\r128_a256_d005\epoch_180_loss_0.1603\lydian_seed1111.flac
r128_a256_d005,epoch_180_loss_0.1603,lydian,2222,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_180_loss_0.1603_lydian_seed2222.flac,audios_unificados\r128_a256_d005\epoch_180_loss_0.1603\lydian_seed2222.flac
r128_a256_d005,epoch_180_loss_0.1603,mixolydian,1111,OK,gradio_outputs\modal_eval_r128_a256_d005\epoch_180_loss_0.1603_mixolydian_seed1111.flac,audios_unificados\r128_a256_d005\epoch_180_loss_0.1603\mixolydian_seed1111.flac
